size,time_ms,iterations
5611,5,16833
2541,2,7623
6464,3,19392
7676,3,23028
3915,0,11745
7631,1,22893
2999,0,8997
4187,0,12561
3114,0,9342
8080,0,24240
3342,1,10026
3349,1,10047
3589,1,10767
8918,1,26754
1529,1,4587
9760,2,29280
6966,2,20898
1031,0,3093
9245,1,27735
6356,1,19068
1698,0,5094
6413,1,19239
687,0,2061
3505,0,10515
5965,2,17895
4608,1,13824
9330,1,27990
873,0,2619
6313,1,18939
5075,1,15225
2607,1,7821
6112,1,18336
8745,0,26235
8689,2,26067
3849,1,11547
7460,1,22380
8089,0,24267
9193,1,27579
7268,0,21804
8229,1,24687
3537,1,10611
7380,1,22140
9017,0,27051
5363,1,16089
5453,1,16359
3131,0,9393
4323,0,12969
9680,1,29040
5034,1,15102
5052,1,15156
