size;dataType;time_ns;iterations
5611;array;4541399;186470
5611;list;11922401;186470
2541;array;214800;78213
2541;list;589000;78213
6464;array;377299;235636
6464;list;1539599;235636
7676;array;417100;288309
7676;list;1923001;288309
3915;array;245200;130145
3915;list;1659199;130145
7631;array;362599;294690
7631;list;2064102;294690
2999;array;130299;95761
2999;list;658799;95761
4187;array;188301;138756
4187;list;942200;138756
3114;array;134600;96107
3114;list;634199;96107
8080;array;418902;329895
8080;list;2145400;329895
3342;array;148401;106566
3342;list;708301;106566
3349;array;143702;106943
3349;list;721899;106943
3589;array;169100;126747
3589;list;859501;126747
8918;array;447798;326191
8918;list;2116502;326191
1529;array;60300;48189
1529;list;296500;48189
9760;array;507900;396874
9760;list;2386899;396874
6966;array;319999;246975
6966;list;1585800;246975
1031;array;39199;28005
1031;list;188200;28005
9245;array;495302;347829
9245;list;2258600;347829
6356;array;303800;224919
6356;list;1463798;224919
1698;array;71401;50343
1698;list;342600;50343
6413;array;312000;227528
6413;list;1555201;227528
687;array;23101;16328
687;list;106700;16328
3505;array;155902;115556
3505;list;780299;115556
5965;array;277800;211105
5965;list;1369100;211105
4608;array;217600;157660
4608;list;999201;157660
